"Project ID","Created date","Customer name","Due date","Estimate name","Has Estimate","Has uninvoiced charge","Item category name","Item class","Item code","Item Customer","Item description","Item family name","Item type","Date last Job completed ","Performance","Planned end","Planned start","Project code","Project description","Project status","Reference 1","Reference 2","Reference 3","Scenario name","Site name","Standard people","Standard units per hour","Total charge","Uninvoiced total charge","Uninvoiced total charge per unit","Uninvoiced units produced","Unit of measure","Units expected","Units Produced","Units remaining"
"2056239","2020-Jan-07 09:45 AM","The Clorox Company","2020-Feb-21 09:44 AM","","No","No","Carton","","CLOROX-13","The Clorox Company","#28520 HV Parmesan 3 Herb Breading Kit","","Finished Good","","100.00%","","","2056239","","Booked","","","","","MSI Portage","6.50","1177.63000","0.00","0.00","0.00000","","eaches","30000.00000","0.00000","30000.00000"
"2056237","2020-Jan-07 09:44 AM","The Clorox Company","2020-Feb-17 09:43 AM","","No","No","Pouches","","CLOROX-13WIP","The Clorox Company","HV Parmesan 3 Herb Breading Kit Pouch WIP","","Finished Good","","100.00%","","","2056237","","Booked","","","","","MSI Portage","2.50","1874.00000","0.00","0.00","0.00000","","pouches","18000.00000","0.00000","18000.00000"
"2054632","2020-Jan-06 10:53 AM","Hometown Foods","2020-Jan-25 10:53 AM","","No","Yes","Lids","","HTFOODS-04","Hometown Foods","250069 Rainbow Pastel FF Lids","","Finished Good","","100.00%","","","250069 Line 1-Pastel","","Booked","Forecast","","","","MSI Portage","3.00","2790.00000","0.00","0.00","0.00000","543900.00000","lids","1100000.00000","543900.00000","556100.00000"
"2053516","2020-Jan-03 02:40 PM","Olly","2020-Jan-03 02:35 PM","","No","Yes","Vitamin","","OLLY-10A-12PK","Olly","700060.01 Kids Multi + Probiotic 70ct (FLA) - Large","Large","Finished Good","2020-Jan-07 07:30 PM","100.00%","","","2053516","","Closed","100942","","","","MSI Portage","8.00","889.13000","0.00","0.00","0.00000","27552.00000","bottles","50000.00000","27552.00000","22448.00000"
"2053510","2020-Jan-03 02:38 PM","Olly","2020-Jan-03 02:35 PM","","No","Yes","Vitamin","","OLLY-07-12PK","Olly","700066.01 Men's Multi Blackberry 90ct - Large","Large","Finished Good","","100.00%","","2020-Jan-03 03:44 PM","2053510","","Booked","100942","","","","MSI Portage","8.00","800.50000","0.00","0.00","0.00000","128172.00000","bottles","161000.00000","128172.00000","32828.00000"
"2053463","2020-Jan-03 02:21 PM","Olly","2020-Jan-03 02:20 PM","","No","Yes","Vitamin","","OLLY-92-12PK","Olly","700044.02 Swift Energy Pineapple 30ct - Medium","Medium","Finished Good","2020-Jan-04 08:00 PM","100.00%","","","2053463","","Closed","100942","","","","MSI Portage","8.00","993.00000","0.00","0.00","0.00000","13152.00000","bottles","24000.00000","13152.00000","10848.00000"
"2052682","2020-Jan-03 10:49 AM","Mars / Wrigley","2020-Jan-10 11:00 PM","","No","Yes","Gum","","MARS-01","Mars / Wrigley","10194013 Eclipse Spearmint Eiffel 120pc - 24ct","","Finished Good","2020-Jan-11 12:50 AM","100.00%","2020-Jan-10 11:00 PM","2020-Jan-09 06:00 AM","Eiffel 1/6 #2","RUN OUT AVAILABLE BULK","Closed","","","","","MSI Portage","10.00","2880.00000","0.00","0.00","0.00000","47256.00000","bottles","33600.00000","47256.00000","-13656.00000"
"2052655","2020-Jan-03 10:42 AM","Mars / Wrigley","2020-Jan-09 11:00 PM","","No","Yes","Gum","","MARS-02","Mars / Wrigley","10194979 Eclipse Winterfrost Eiffel 120pc 24ct","","Finished Good","","100.00%","2020-Jan-09 11:00 PM","2020-Jan-08 06:00 AM","Eiffel 1/6 #3","","Booked","","","","","MSI Portage","10.00","2880.00000","0.00","0.00","0.00000","36240.00000","bottles","33600.00000","36240.00000","-2640.00000"
"2052647","2020-Jan-03 10:38 AM","Mars / Wrigley","2020-Jan-07 11:00 PM","","No","Yes","Gum","","MARS-03","Mars / Wrigley","10194982 Orbit White Bubblemint Eiffel 120pc - 24ct","","Finished Good","2020-Jan-09 12:00 AM","100.00%","2020-Jan-07 11:00 PM","2020-Jan-06 06:00 AM","Eiffel 1/6 #1","","Closed","","","","","MSI Portage","10.00","2880.00000","0.00","0.00","0.00000","32760.00000","bottles","16800.00000","32760.00000","-15960.00000"
"2052074","2020-Jan-03 06:59 AM","Olly","2020-Jan-03 06:55 AM","","No","Yes","Vitamin","","OLLY-16-12PK","Olly","700068.01 Probiotic Mango 50ct (Col) - Medium","Medium","Finished Good","2020-Jan-10 08:09 AM","100.00%","","","2052074","Run out Colombian gummies","Closed","100942","","","","MSI Portage","8.00","957.25000","0.00","0.00","0.00000","62724.00000","bottles","50000.00000","62724.00000","-12724.00000"
