"Project ID","Created date","Customer name","Due date","Estimate name","Has Estimate","Has uninvoiced charge","Item category name","Item class","Item code","Item Customer","Item description","Item family name","Item type","Date last Job completed ","Performance","Planned end","Planned start","Project code","Project description","Project status","Reference 1","Reference 2","Reference 3","Scenario name","Site name","Standard people","Standard units per hour","Total charge","Uninvoiced total charge","Uninvoiced total charge per unit","Uninvoiced units produced","Unit of measure","Units expected","Units Produced","Units remaining"
"1968913","2019-Oct-08 01:19 PM","Assemblies Unlimited","","50649815002103 - GUM1","Yes","Yes","","","ASSEMB-NC-02","Assemblies Unlimited","50649815002103 6/36 Glee Gum Pouch Bubblegum","","Finished Good","2019-Oct-30 03:45 PM","100.00%","2019-Oct-30 09:11 AM","2019-Oct-29 02:54 PM","1968913","","Closed","","","","19-2143 - 50649815002103","Newcomerstown","5.00","54.00000","3325.29","3325.29","5.97000","557.00000","cases","555.00000","557.00000","-2.00000"
"1968912","2019-Oct-08 01:19 PM","Assemblies Unlimited","","50649815002509 - GUM1","Yes","No","","","ASSEMB-NC-03","Assemblies Unlimited","50649815002509 6/36 Glee Gum Pouch Sugar Free Peppermint","","Finished Good","","100.00%","2019-Dec-04 10:31 AM","2019-Dec-03 04:14 PM","1968912","","Closed","","","","19-2143 - 50649815002509","Newcomerstown","5.00","54.00000","0.00","0.00","5.97000","","cases","555.00000","0.00000","555.00000"
"1968910","2019-Oct-08 01:14 PM","Assemblies Unlimited","","50649815002523 - GUM1","Yes","Yes","","","ASSEMB-NC-04","Assemblies Unlimited","50649815002523 6/36 Glee Gum Pouch Sugar Free Watermelon","","Finished Good","2019-Nov-21 08:37 AM","100.00%","2019-Nov-14 10:34 PM","2019-Nov-14 10:47 AM","1968910","","Closed","","","","19-2143 - 50649815002523","Newcomerstown","5.00","54.00000","3396.93","3396.93","5.97000","569.00000","cases","555.00000","569.00000","-14.00000"
"1968906","2019-Oct-08 01:08 PM","Blue Buffalo","","802739 - SUP6","Yes","Yes","","","BLUEBUFF-NC-02","Blue Buffalo","802739 Blue Bits Chicken Sample .5Ozdg Petsmart Coupon","","Finished Good","2019-Nov-14 01:53 PM","100.00%","2019-Nov-12 05:01 PM","2019-Nov-11 01:08 PM","1968906","","Closed","","","","L - 802739","Newcomerstown","4.00","63.00000","12301.38","12301.38","8.42560","1460.00000","cases","1200.00000","1460.00000","-260.00000"
"1968211","2019-Oct-08 08:29 AM","Love You Foods LLC","","FMB-600 - KETO","Yes","Yes","","","LOVEYOU-NC-01","Love You Foods LLC","FMB-600 Fbomb Keto Krunch Cheddar","","Finished Good","2019-Oct-18 03:42 PM","100.00%","2019-Oct-21 01:43 PM","2019-Oct-15 08:20 AM","1968211","RUN OUT BULK","Closed","","","","L - FMB-600","Newcomerstown","5.00","228.00000","1039.14","1039.14","1.07460","967.00000","cases","1100.00000","967.00000","133.00000"
"1967514","2019-Oct-07 04:19 PM","Mondelez","","704620032700 - SP1/SP2","Yes","Yes","","","MONDELZ-NC-10","Mondelez","704620032700 6Ct - 9Oz Sourpatch Big Kids Bag","","Finished Good","2019-Oct-08 09:07 PM","100.00%","2019-Oct-11 05:58 PM","2019-Oct-11 09:39 AM","1967514","","Closed","","","","L - 704620032700","Newcomerstown","7.00","384.00000","3998.94","3998.94","1.46000","2739.00000","cases","2871.00000","2739.00000","132.00000"
"1967497","2019-Oct-07 03:54 PM","Mondelez","","3125460016000 - HALLS REPACK","Yes","Yes","","","MONDELZ-NC-06","Mondelez","3125460016000 80Pc Halls Cough Cherry 6ct","","Finished Good","2019-Nov-15 04:11 PM","100.00%","2019-Nov-19 04:14 PM","2019-Nov-18 10:25 PM","1967497","","Closed","","","","L - 3125460016000","Newcomerstown","5.00","600.00000","8305.22","8305.22","0.77000","10786.00000","cases","11322.00000","10786.00000","536.00000"
"1967496","2019-Oct-07 03:53 PM","Mondelez","","3125460016000 - HALLS REPACK","Yes","Yes","","","MONDELZ-NC-06","Mondelez","3125460016000 80Pc Halls Cough Cherry 6ct","","Finished Good","2019-Oct-29 10:16 AM","100.00%","2019-Oct-29 05:26 PM","2019-Oct-21 07:00 AM","1967496","","Closed","","","","L - 3125460016000","Newcomerstown","5.00","600.00000","8725.64","8725.64","0.77000","11332.00000","cases","22644.00000","11332.00000","11312.00000"
"1967495","2019-Oct-07 03:52 PM","Mondelez","","3125460015900 - HALLS REPACK","Yes","Yes","","","MONDELZ-NC-05","Mondelez","3125460015900 80Pc Halls Cough Honey Lemon 6ct","","Finished Good","2019-Nov-26 12:00 PM","100.00%","2019-Nov-18 10:25 PM","2019-Nov-18 07:00 AM","1967495","","Closed","","","","L - 3125460015900","Newcomerstown","5.00","600.00000","4308.15","4308.15","0.77000","5595.00000","cases","8262.00000","5595.00000","2667.00000"
"1967494","2019-Oct-07 03:51 PM","Mondelez","","3125460015900 - HALLS REPACK","Yes","No","","","MONDELZ-NC-05","Mondelez","3125460015900 80Pc Halls Cough Honey Lemon 6ct","","Finished Good","","100.00%","2019-Oct-22 07:26 AM","2019-Oct-21 07:00 AM","1967494","","Closed","","","","L - 3125460015900","Newcomerstown","5.00","600.00000","0.00","0.00","0.77000","","cases","9468.00000","0.00000","9468.00000"
